activity_description,label,duration_minutes,user_id
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,12,100
Playing online crossword puzzles,Wasting Time,7,8
Participating in a group discussion on the course forum,Wasting Time,60,70
Taking notes from a lecture video,Utilizing Time for Knowledge Development,116,52
Watching TV shows,Wasting Time,5,11
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,16,11
Scrolling through social media feeds,Utilizing Time for Knowledge Development,58,50
Checking email,Wasting Time,94,67
Scrolling through social media feeds,Wasting Time,116,30
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,55,96
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,95,9
Chatting with friends on messaging apps,Wasting Time,72,97
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,37,46
Playing a video game,Utilizing Time for Knowledge Development,59,84
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,31,39
Solving programming exercises,Utilizing Time for Knowledge Development,23,45
Writing an essay for a class assignment,Wasting Time,70,65
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,77,27
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,27,98
Playing a video game,Utilizing Time for Knowledge Development,94,60
Watching TV shows,Utilizing Time for Knowledge Development,72,70
Watching cat videos on YouTube,Wasting Time,102,48
Scrolling through social media feeds,Utilizing Time for Knowledge Development,9,53
Listening to an audiobook on a relevant topic,Wasting Time,82,38
Watching TV shows,Utilizing Time for Knowledge Development,78,69
Taking notes from a lecture video,Utilizing Time for Knowledge Development,17,49
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,37,76
Scrolling through social media feeds,Wasting Time,26,89
Coding a personal project,Utilizing Time for Knowledge Development,53,16
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,112,3
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,96,96
Watching TV shows,Wasting Time,43,90
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,105,59
Coding a personal project,Utilizing Time for Knowledge Development,36,38
Watching TV shows,Utilizing Time for Knowledge Development,49,35
Scrolling through social media feeds,Utilizing Time for Knowledge Development,93,26
Reviewing course lecture slides,Wasting Time,73,92
Checking email,Wasting Time,67,94
Participating in an online quiz,Utilizing Time for Knowledge Development,87,81
Scrolling through social media feeds,Utilizing Time for Knowledge Development,31,69
Chatting with friends on messaging apps,Wasting Time,91,24
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,18,14
Checking email,Utilizing Time for Knowledge Development,74,25
Participating in a group discussion on the course forum,Wasting Time,66,100
Checking email,Utilizing Time for Knowledge Development,51,59
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,26,25
Taking notes from a lecture video,Wasting Time,112,89
Watching TV shows,Utilizing Time for Knowledge Development,54,45
Scrolling through social media feeds,Wasting Time,11,100
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,74,46
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,51,63
Reading a scientific research paper,Utilizing Time for Knowledge Development,77,3
Playing online crossword puzzles,Utilizing Time for Knowledge Development,37,62
Playing online crossword puzzles,Utilizing Time for Knowledge Development,13,64
Checking email,Utilizing Time for Knowledge Development,109,92
Solving programming exercises,Utilizing Time for Knowledge Development,106,29
Participating in an online quiz,Utilizing Time for Knowledge Development,26,71
Participating in a group discussion on the course forum,Wasting Time,71,46
Solving programming exercises,Utilizing Time for Knowledge Development,43,13
Watching Khan Academy math tutorial,Wasting Time,97,33
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,55,5
Online shopping,Wasting Time,106,90
Watching TV shows,Wasting Time,106,9
Scrolling through social media feeds,Utilizing Time for Knowledge Development,57,60
Online shopping,Utilizing Time for Knowledge Development,64,18
Reading a scientific research paper,Utilizing Time for Knowledge Development,19,73
Playing online crossword puzzles,Utilizing Time for Knowledge Development,19,21
Watching cat videos on YouTube,Wasting Time,28,66
Solving programming exercises,Utilizing Time for Knowledge Development,51,30
Online shopping,Utilizing Time for Knowledge Development,116,86
Solving programming exercises,Utilizing Time for Knowledge Development,87,40
Checking email,Utilizing Time for Knowledge Development,77,88
Scrolling through social media feeds,Wasting Time,27,35
Checking email,Wasting Time,77,57
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,116,16
Reviewing course lecture slides,Utilizing Time for Knowledge Development,116,96
Coding a personal project,Utilizing Time for Knowledge Development,48,66
Watching Khan Academy math tutorial,Wasting Time,88,54
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,79,5
Online shopping,Utilizing Time for Knowledge Development,24,64
Playing a video game,Wasting Time,95,55
Taking notes from a lecture video,Utilizing Time for Knowledge Development,35,34
Checking email,Utilizing Time for Knowledge Development,35,87
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,119,55
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,32,42
Participating in an online quiz,Utilizing Time for Knowledge Development,53,92
Coding a personal project,Utilizing Time for Knowledge Development,31,80
Watching TV shows,Utilizing Time for Knowledge Development,43,80
Watching TV shows,Utilizing Time for Knowledge Development,58,51
Reviewing course lecture slides,Wasting Time,36,8
Scrolling through social media feeds,Utilizing Time for Knowledge Development,100,56
Reviewing course lecture slides,Wasting Time,95,7
Scrolling through social media feeds,Wasting Time,79,36
Watching Khan Academy math tutorial,Wasting Time,119,83
Watching cat videos on YouTube,Wasting Time,80,23
Online shopping,Utilizing Time for Knowledge Development,11,81
Participating in an online quiz,Wasting Time,16,96
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,64,88
Watching Khan Academy math tutorial,Wasting Time,110,88
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,112,84
Taking notes from a lecture video,Utilizing Time for Knowledge Development,102,30
Playing a video game,Utilizing Time for Knowledge Development,97,18
Coding a personal project,Wasting Time,32,60
Participating in an online quiz,Wasting Time,114,86
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,90,77
Solving programming exercises,Utilizing Time for Knowledge Development,19,51
Watching Khan Academy math tutorial,Wasting Time,64,37
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,78,8
Solving programming exercises,Utilizing Time for Knowledge Development,16,38
Solving programming exercises,Utilizing Time for Knowledge Development,20,7
Watching TV shows,Utilizing Time for Knowledge Development,54,64
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,101,93
Checking email,Utilizing Time for Knowledge Development,91,15
Reading a scientific research paper,Utilizing Time for Knowledge Development,66,29
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,98,78
Watching TV shows,Utilizing Time for Knowledge Development,95,63
Coding a personal project,Wasting Time,83,32
Reading a scientific research paper,Utilizing Time for Knowledge Development,61,93
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,35,7
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,20,51
Participating in a group discussion on the course forum,Wasting Time,23,89
Watching TV shows,Utilizing Time for Knowledge Development,25,45
Listening to an audiobook on a relevant topic,Wasting Time,91,96
Coding a personal project,Utilizing Time for Knowledge Development,76,87
Online shopping,Wasting Time,45,48
Coding a personal project,Utilizing Time for Knowledge Development,79,7
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,86,4
Online shopping,Utilizing Time for Knowledge Development,70,43
Listening to an audiobook on a relevant topic,Wasting Time,96,91
Listening to an audiobook on a relevant topic,Wasting Time,17,58
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,88,71
Watching cat videos on YouTube,Wasting Time,73,76
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,22,83
Participating in an online quiz,Utilizing Time for Knowledge Development,82,2
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,50,21
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,37,40
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,29,9
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,114,2
Playing a video game,Utilizing Time for Knowledge Development,98,71
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,103,12
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,57,10
Online shopping,Utilizing Time for Knowledge Development,29,16
Participating in an online quiz,Wasting Time,72,28
Online shopping,Wasting Time,91,65
Watching TV shows,Utilizing Time for Knowledge Development,107,52
Coding a personal project,Utilizing Time for Knowledge Development,17,54
Coding a personal project,Utilizing Time for Knowledge Development,61,4
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,118,77
Taking notes from a lecture video,Utilizing Time for Knowledge Development,7,71
Online shopping,Utilizing Time for Knowledge Development,61,46
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,67,41
Reading a scientific research paper,Wasting Time,109,76
Taking notes from a lecture video,Utilizing Time for Knowledge Development,25,68
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,58,41
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,70,32
Checking email,Utilizing Time for Knowledge Development,75,82
Solving programming exercises,Utilizing Time for Knowledge Development,16,62
Scrolling through social media feeds,Utilizing Time for Knowledge Development,74,97
Online shopping,Utilizing Time for Knowledge Development,79,64
Solving programming exercises,Utilizing Time for Knowledge Development,9,1
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,29,65
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,97,89
Watching Khan Academy math tutorial,Wasting Time,53,76
Reviewing course lecture slides,Wasting Time,27,36
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,24,64
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,111,79
Reading a scientific research paper,Wasting Time,103,57
Playing online crossword puzzles,Wasting Time,75,38
Participating in an online quiz,Utilizing Time for Knowledge Development,33,52
Solving programming exercises,Utilizing Time for Knowledge Development,66,97
Solving programming exercises,Utilizing Time for Knowledge Development,118,86
Playing a video game,Wasting Time,77,34
Reading a scientific research paper,Utilizing Time for Knowledge Development,12,42
Writing an essay for a class assignment,Wasting Time,113,74
Coding a personal project,Wasting Time,106,92
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,56,50
Watching cat videos on YouTube,Wasting Time,83,10
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,100,67
Reviewing course lecture slides,Utilizing Time for Knowledge Development,49,20
Checking email,Utilizing Time for Knowledge Development,56,100
Browsing Wikipedia for history facts,Wasting Time,56,8
Watching cat videos on YouTube,Wasting Time,22,71
Writing an essay for a class assignment,Wasting Time,58,19
Watching TV shows,Utilizing Time for Knowledge Development,102,34
Browsing Wikipedia for history facts,Wasting Time,48,81
Reviewing course lecture slides,Utilizing Time for Knowledge Development,79,93
Watching cat videos on YouTube,Wasting Time,96,43
Taking notes from a lecture video,Utilizing Time for Knowledge Development,35,56
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,55,71
Watching TV shows,Utilizing Time for Knowledge Development,7,56
Participating in an online quiz,Utilizing Time for Knowledge Development,53,72
Taking notes from a lecture video,Utilizing Time for Knowledge Development,98,75
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,101,87
Participating in a group discussion on the course forum,Wasting Time,13,49
Browsing Wikipedia for history facts,Wasting Time,61,97
Playing a video game,Utilizing Time for Knowledge Development,51,69
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,118,38
Taking notes from a lecture video,Utilizing Time for Knowledge Development,88,55
Scrolling through social media feeds,Utilizing Time for Knowledge Development,96,55
Solving programming exercises,Wasting Time,119,86
Taking notes from a lecture video,Utilizing Time for Knowledge Development,61,24
Reviewing course lecture slides,Utilizing Time for Knowledge Development,5,12
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,57,16
Browsing Wikipedia for history facts,Wasting Time,40,17
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,6,2
Reading a scientific research paper,Wasting Time,74,69
Reading a scientific research paper,Wasting Time,23,11
Participating in an online quiz,Utilizing Time for Knowledge Development,18,81
Coding a personal project,Utilizing Time for Knowledge Development,71,40
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,32,71
Participating in an online quiz,Utilizing Time for Knowledge Development,25,2
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,105,71
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,91,18
Playing a video game,Wasting Time,30,45
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,11,60
Playing online crossword puzzles,Utilizing Time for Knowledge Development,57,83
Reading a scientific research paper,Utilizing Time for Knowledge Development,46,34
Participating in a group discussion on the course forum,Wasting Time,57,54
Solving programming exercises,Utilizing Time for Knowledge Development,83,50
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,25,70
Browsing Wikipedia for history facts,Wasting Time,34,38
Participating in an online quiz,Utilizing Time for Knowledge Development,75,37
Watching Khan Academy math tutorial,Wasting Time,76,44
Reading a scientific research paper,Utilizing Time for Knowledge Development,106,57
Watching TV shows,Utilizing Time for Knowledge Development,64,6
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,34,78
Watching TV shows,Utilizing Time for Knowledge Development,117,17
Reviewing course lecture slides,Utilizing Time for Knowledge Development,63,44
Scrolling through social media feeds,Utilizing Time for Knowledge Development,83,4
Playing a video game,Utilizing Time for Knowledge Development,5,36
Watching cat videos on YouTube,Wasting Time,111,8
Reviewing course lecture slides,Utilizing Time for Knowledge Development,14,82
Reviewing course lecture slides,Utilizing Time for Knowledge Development,38,12
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,17,14
Solving programming exercises,Utilizing Time for Knowledge Development,11,7
Playing online crossword puzzles,Utilizing Time for Knowledge Development,94,22
Watching TV shows,Utilizing Time for Knowledge Development,119,100
Reading a scientific research paper,Utilizing Time for Knowledge Development,82,22
Taking notes from a lecture video,Utilizing Time for Knowledge Development,32,51
Checking email,Wasting Time,107,57
Checking email,Utilizing Time for Knowledge Development,36,64
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,12,75
Playing a video game,Utilizing Time for Knowledge Development,81,64
Online shopping,Utilizing Time for Knowledge Development,51,43
Chatting with friends on messaging apps,Wasting Time,68,43
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,119,17
Playing a video game,Utilizing Time for Knowledge Development,21,57
Reading a scientific research paper,Utilizing Time for Knowledge Development,118,95
Playing online crossword puzzles,Utilizing Time for Knowledge Development,17,71
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,28,26
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,116,67
Reading a scientific research paper,Utilizing Time for Knowledge Development,66,61
Coding a personal project,Utilizing Time for Knowledge Development,94,32
Taking notes from a lecture video,Utilizing Time for Knowledge Development,32,20
Participating in an online quiz,Utilizing Time for Knowledge Development,106,75
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,75,62
Solving programming exercises,Wasting Time,57,99
Checking email,Utilizing Time for Knowledge Development,82,71
Playing online crossword puzzles,Utilizing Time for Knowledge Development,105,19
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,5,37
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,107,78
Reviewing course lecture slides,Wasting Time,46,58
Browsing Wikipedia for history facts,Wasting Time,108,77
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,6,7
Coding a personal project,Utilizing Time for Knowledge Development,34,50
Scrolling through social media feeds,Wasting Time,78,26
Playing online crossword puzzles,Utilizing Time for Knowledge Development,54,22
Checking email,Utilizing Time for Knowledge Development,60,82
Coding a personal project,Wasting Time,14,42
Writing an essay for a class assignment,Wasting Time,115,92
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,71,15
Playing online crossword puzzles,Utilizing Time for Knowledge Development,45,56
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,76,46
Watching TV shows,Utilizing Time for Knowledge Development,85,22
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,65,53
Participating in a group discussion on the course forum,Wasting Time,96,61
Watching TV shows,Utilizing Time for Knowledge Development,15,42
Watching Khan Academy math tutorial,Wasting Time,31,63
Checking email,Utilizing Time for Knowledge Development,79,76
Scrolling through social media feeds,Utilizing Time for Knowledge Development,11,22
Solving programming exercises,Utilizing Time for Knowledge Development,24,85
Participating in an online quiz,Utilizing Time for Knowledge Development,58,29
Solving programming exercises,Wasting Time,64,51
Taking notes from a lecture video,Wasting Time,43,76
Coding a personal project,Utilizing Time for Knowledge Development,117,98
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,35,67
Reviewing course lecture slides,Utilizing Time for Knowledge Development,63,87
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,119,3
Chatting with friends on messaging apps,Wasting Time,47,7
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,78,33
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,111,71
Checking email,Wasting Time,106,68
Playing online crossword puzzles,Wasting Time,30,76
Solving programming exercises,Utilizing Time for Knowledge Development,59,42
Participating in an online quiz,Utilizing Time for Knowledge Development,16,53
Browsing Wikipedia for history facts,Wasting Time,41,84
Online shopping,Utilizing Time for Knowledge Development,33,54
Listening to an audiobook on a relevant topic,Wasting Time,120,12
Watching cat videos on YouTube,Wasting Time,5,77
Browsing Wikipedia for history facts,Wasting Time,35,51
Listening to an audiobook on a relevant topic,Wasting Time,11,19
Playing online crossword puzzles,Utilizing Time for Knowledge Development,113,95
Reviewing course lecture slides,Wasting Time,37,67
Reading a scientific research paper,Wasting Time,9,52
Reviewing course lecture slides,Utilizing Time for Knowledge Development,39,82
Playing online crossword puzzles,Utilizing Time for Knowledge Development,79,38
Checking email,Utilizing Time for Knowledge Development,34,44
Online shopping,Utilizing Time for Knowledge Development,101,95
Browsing Wikipedia for history facts,Wasting Time,62,55
Writing an essay for a class assignment,Wasting Time,29,40
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,96,60
Checking email,Wasting Time,47,16
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,59,38
Participating in a group discussion on the course forum,Wasting Time,110,80
Writing an essay for a class assignment,Wasting Time,86,52
Chatting with friends on messaging apps,Wasting Time,44,94
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,62,30
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,17,19
Watching Khan Academy math tutorial,Wasting Time,111,38
Playing online crossword puzzles,Wasting Time,67,53
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,65,4
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,43,3
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,58,100
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,74,54
Reviewing course lecture slides,Utilizing Time for Knowledge Development,73,85
Playing online crossword puzzles,Utilizing Time for Knowledge Development,34,64
Participating in an online quiz,Wasting Time,42,14
Playing a video game,Utilizing Time for Knowledge Development,35,56
Participating in an online quiz,Wasting Time,77,23
Scrolling through social media feeds,Wasting Time,101,40
Solving programming exercises,Utilizing Time for Knowledge Development,70,88
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,75,69
Solving programming exercises,Wasting Time,48,6
Scrolling through social media feeds,Wasting Time,5,79
Reading a scientific research paper,Wasting Time,26,16
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,59,78
Solving programming exercises,Utilizing Time for Knowledge Development,8,39
Scrolling through social media feeds,Utilizing Time for Knowledge Development,102,7
Participating in an online quiz,Utilizing Time for Knowledge Development,72,97
Solving programming exercises,Utilizing Time for Knowledge Development,17,20
Scrolling through social media feeds,Utilizing Time for Knowledge Development,27,1
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,26,57
Reviewing course lecture slides,Wasting Time,73,9
Browsing Wikipedia for history facts,Wasting Time,17,84
Reviewing course lecture slides,Utilizing Time for Knowledge Development,65,92
Taking notes from a lecture video,Utilizing Time for Knowledge Development,112,39
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,10,30
Reading a scientific research paper,Utilizing Time for Knowledge Development,51,33
Reviewing course lecture slides,Utilizing Time for Knowledge Development,29,73
Online shopping,Wasting Time,114,44
Checking email,Utilizing Time for Knowledge Development,8,23
Playing online crossword puzzles,Wasting Time,53,20
Listening to an audiobook on a relevant topic,Wasting Time,6,22
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,47,81
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,81,35
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,49,36
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,76,58
Playing a video game,Wasting Time,114,95
Writing an essay for a class assignment,Wasting Time,61,41
Scrolling through social media feeds,Utilizing Time for Knowledge Development,119,76
Checking email,Utilizing Time for Knowledge Development,76,6
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,16,90
Taking notes from a lecture video,Utilizing Time for Knowledge Development,106,96
Online shopping,Utilizing Time for Knowledge Development,101,89
Participating in an online quiz,Utilizing Time for Knowledge Development,103,89
Watching TV shows,Wasting Time,37,95
Coding a personal project,Utilizing Time for Knowledge Development,110,93
Coding a personal project,Utilizing Time for Knowledge Development,32,78
Checking email,Utilizing Time for Knowledge Development,28,72
Reviewing course lecture slides,Wasting Time,93,50
Coding a personal project,Utilizing Time for Knowledge Development,65,41
Scrolling through social media feeds,Utilizing Time for Knowledge Development,98,98
Coding a personal project,Utilizing Time for Knowledge Development,114,15
Scrolling through social media feeds,Wasting Time,49,25
Watching TV shows,Wasting Time,10,19
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,108,62
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,62,100
Playing online crossword puzzles,Utilizing Time for Knowledge Development,23,99
Reading a scientific research paper,Utilizing Time for Knowledge Development,90,62
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,108,53
Browsing Wikipedia for history facts,Wasting Time,41,79
Watching TV shows,Wasting Time,40,7
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,25,13
Checking email,Wasting Time,108,55
Reading a scientific research paper,Utilizing Time for Knowledge Development,97,20
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,74,82
Solving programming exercises,Utilizing Time for Knowledge Development,26,14
Playing a video game,Wasting Time,37,2
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,74,59
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,88,53
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,16,53
Chatting with friends on messaging apps,Wasting Time,35,5
Listening to an audiobook on a relevant topic,Wasting Time,32,16
Playing a video game,Wasting Time,57,12
Solving programming exercises,Utilizing Time for Knowledge Development,66,75
Coding a personal project,Utilizing Time for Knowledge Development,42,13
Reviewing course lecture slides,Utilizing Time for Knowledge Development,97,32
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,65,54
Reviewing course lecture slides,Utilizing Time for Knowledge Development,63,39
Chatting with friends on messaging apps,Wasting Time,85,53
Checking email,Utilizing Time for Knowledge Development,97,34
Coding a personal project,Utilizing Time for Knowledge Development,109,77
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,110,86
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,109,93
Scrolling through social media feeds,Utilizing Time for Knowledge Development,53,10
Participating in a group discussion on the course forum,Wasting Time,98,54
Scrolling through social media feeds,Wasting Time,22,35
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,107,58
Solving programming exercises,Wasting Time,78,88
Taking notes from a lecture video,Utilizing Time for Knowledge Development,104,10
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,83,20
Reading a scientific research paper,Utilizing Time for Knowledge Development,37,99
Coding a personal project,Utilizing Time for Knowledge Development,58,29
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,17,80
Playing online crossword puzzles,Utilizing Time for Knowledge Development,115,88
Writing an essay for a class assignment,Wasting Time,83,7
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,37,61
Participating in an online quiz,Utilizing Time for Knowledge Development,96,46
Browsing Wikipedia for history facts,Wasting Time,96,24
Listening to an audiobook on a relevant topic,Wasting Time,82,90
Checking email,Utilizing Time for Knowledge Development,77,89
Participating in an online quiz,Wasting Time,105,31
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,43,67
Playing online crossword puzzles,Utilizing Time for Knowledge Development,99,30
Writing an essay for a class assignment,Wasting Time,73,7
Browsing Wikipedia for history facts,Wasting Time,114,2
Checking email,Wasting Time,108,74
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,118,18
Playing online crossword puzzles,Utilizing Time for Knowledge Development,34,28
Scrolling through social media feeds,Wasting Time,76,95
Checking email,Wasting Time,65,16
Watching TV shows,Wasting Time,13,75
Watching Khan Academy math tutorial,Wasting Time,109,4
Participating in an online quiz,Utilizing Time for Knowledge Development,39,80
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,87,55
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,110,32
Watching TV shows,Utilizing Time for Knowledge Development,43,69
Reading a scientific research paper,Wasting Time,86,68
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,68,12
Coding a personal project,Utilizing Time for Knowledge Development,30,22
Playing online crossword puzzles,Utilizing Time for Knowledge Development,63,90
Taking notes from a lecture video,Wasting Time,52,31
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,86,28
Reviewing course lecture slides,Utilizing Time for Knowledge Development,97,59
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,119,56
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,79,78
Coding a personal project,Utilizing Time for Knowledge Development,90,97
Reviewing course lecture slides,Utilizing Time for Knowledge Development,77,77
Online shopping,Utilizing Time for Knowledge Development,47,48
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,69,58
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,78,23
Reviewing course lecture slides,Utilizing Time for Knowledge Development,63,14
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,89,73
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,21,35
Coding a personal project,Utilizing Time for Knowledge Development,92,20
Reviewing course lecture slides,Wasting Time,9,38
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,93,52
Watching cat videos on YouTube,Wasting Time,55,90
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,92,91
Writing an essay for a class assignment,Wasting Time,48,100
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,91,92
Writing an essay for a class assignment,Wasting Time,21,82
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,72,79
Coding a personal project,Utilizing Time for Knowledge Development,95,85
Reading a scientific research paper,Utilizing Time for Knowledge Development,87,14
Online shopping,Wasting Time,59,2
Browsing Wikipedia for history facts,Wasting Time,87,33
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,41,92
Checking email,Utilizing Time for Knowledge Development,64,18
Listening to an audiobook on a relevant topic,Wasting Time,93,43
Chatting with friends on messaging apps,Wasting Time,6,91
Chatting with friends on messaging apps,Wasting Time,92,66
Participating in an online quiz,Wasting Time,21,41
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,119,95
Taking notes from a lecture video,Utilizing Time for Knowledge Development,84,82
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,99,39
Chatting with friends on messaging apps,Wasting Time,64,14
Listening to an audiobook on a relevant topic,Wasting Time,31,57
Taking notes from a lecture video,Utilizing Time for Knowledge Development,15,79
Coding a personal project,Utilizing Time for Knowledge Development,85,24
Playing online crossword puzzles,Utilizing Time for Knowledge Development,54,78
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,67,57
Watching TV shows,Wasting Time,118,20
Coding a personal project,Utilizing Time for Knowledge Development,91,54
Taking notes from a lecture video,Utilizing Time for Knowledge Development,6,58
Watching TV shows,Utilizing Time for Knowledge Development,12,50
Reading a scientific research paper,Utilizing Time for Knowledge Development,66,33
